Min,Max,Mean,Std,Var,Skew,Kurtosis,RMS,Crest Factor,Shape Factor,Peak Value,Peak to Peak Value,Impulse Factor,Zero Crossing Rate,Fault
-2.6127,2.53113,0.01252,0.7037,0.4952,0.02851,1.15475,0.01252,208.71854,0.02368,2.6127,5.14383,4.94328,0.10693,Inner_Ring
-1.6466,1.89965,0.01388,0.68221,0.46541,0.04762,-0.35312,0.01388,136.83607,0.02556,1.89965,3.54625,3.49741,0.10693,Inner_Ring
-2.6417,2.89037,0.01129,0.80826,0.65329,0.08273,0.51598,0.01129,255.92623,0.01842,2.89037,5.53206,4.71333,0.10753,Inner_Ring
-2.07823,1.99123,0.01301,0.72092,0.51973,0.03914,0.07881,0.01301,159.73826,0.02379,2.07823,4.06946,3.80013,0.10875,Inner_Ring
-3.16887,3.41775,0.0081,0.85463,0.73039,0.08731,0.64224,0.0081,421.98986,0.01203,3.41775,6.58661,5.07833,0.10693,Inner_Ring
-2.67445,2.74997,0.01472,0.72322,0.52305,0.0491,1.17974,0.01472,186.79361,0.02755,2.74997,5.42442,5.14701,0.10753,Inner_Ring
-2.67424,2.95629,0.00918,0.82223,0.67606,0.08574,0.14716,0.00918,322.05484,0.01434,2.95629,5.63053,4.61972,0.10753,Inner_Ring
-2.52279,2.45499,0.00945,0.71643,0.51327,0.04758,0.85218,0.00945,266.86703,0.01729,2.52279,4.97777,4.61399,0.10389,Inner_Ring
-2.31313,2.60936,0.00756,0.76594,0.58667,0.05578,0.03163,0.00756,345.3058,0.01314,2.60936,4.92249,4.53666,0.10875,Inner_Ring
-2.44518,2.71304,0.01112,0.72417,0.52442,0.07034,0.0793,0.01112,244.07915,0.01916,2.71304,5.15822,4.67538,0.10875,Inner_Ring
-2.85365,2.70512,0.00797,0.75962,0.57702,0.03382,1.17859,0.00797,358.20408,0.01411,2.85365,5.55877,5.05499,0.10875,Inner_Ring
-2.05632,2.08428,0.01284,0.70328,0.4946,0.0541,-0.12297,0.01284,162.29656,0.02358,2.08428,4.1406,3.82767,0.1045,Inner_Ring
-2.8428,2.6636,0.01119,0.76688,0.5881,0.0291,0.98586,0.01119,254.0669,0.01939,2.8428,5.5064,4.92658,0.1051,Inner_Ring
-2.00813,2.01689,0.00737,0.70606,0.49852,0.05596,0.1105,0.00737,273.56463,0.01397,2.01689,4.02503,3.82196,0.10875,Inner_Ring
-2.50651,2.73265,0.01382,0.74039,0.54817,0.04871,-0.02458,0.01382,197.68359,0.02312,2.73265,5.23917,4.57052,0.10571,Inner_Ring
-2.38176,2.42578,0.00924,0.62053,0.38506,0.06511,1.38231,0.00924,262.49315,0.01983,2.42578,4.80754,5.20547,0.10693,Inner_Ring
-1.78888,2.0897,0.01054,0.63263,0.40022,0.02914,-0.2179,0.01054,198.2801,0.02127,2.0897,3.87858,4.21696,0.10693,Inner_Ring
-3.17784,3.05914,0.00919,0.74527,0.55543,0.02778,2.14352,0.00919,345.93706,0.01674,3.17784,6.23697,5.79015,0.10571,Inner_Ring
-1.86085,1.89569,0.00681,0.72626,0.52745,0.0268,-0.19865,0.00681,278.19589,0.01246,1.89569,3.75654,3.46581,0.10571,Inner_Ring
-2.76186,3.08104,0.01028,0.78049,0.60916,0.08921,0.38124,0.01028,299.80236,0.01664,3.08104,5.8429,4.98753,0.10753,Inner_Ring
-2.78522,2.6102,0.00641,0.74372,0.55311,0.02395,1.01395,0.00641,434.37196,0.01172,2.78522,5.39542,5.09193,0.10996,Inner_Ring
-2.12308,2.28476,0.01,0.70875,0.50233,0.05135,0.15561,0.01,228.38057,0.01816,2.28476,4.40783,4.1475,0.10814,Inner_Ring
-2.62125,2.53071,0.00598,0.77206,0.59608,0.03827,0.44843,0.00598,438.3635,0.01001,2.62125,5.15197,4.38672,0.10571,Inner_Ring
-2.33608,2.8766,0.00782,0.77646,0.6029,0.05647,0.18842,0.00782,367.69475,0.01338,2.8766,5.21267,4.92159,0.10693,Inner_Ring
-2.36069,2.53426,0.00556,0.68946,0.47536,0.08038,0.71778,0.00556,455.98978,0.0103,2.53426,4.89495,4.69565,0.10814,Inner_Ring
-2.52341,2.43079,0.01068,0.7755,0.6014,0.04811,0.45786,0.01068,236.37958,0.01842,2.52341,4.9542,4.35368,0.10632,Inner_Ring
-2.20027,2.29081,0.00704,0.77238,0.59658,0.05305,-0.02486,0.00704,325.41275,0.01166,2.29081,4.49107,3.79353,0.10632,Inner_Ring
-2.54886,2.67758,0.01198,0.79402,0.63047,0.04084,0.5011,0.01198,223.56936,0.02002,2.67758,5.22644,4.47497,0.10693,Inner_Ring
-2.13121,2.3682,0.01073,0.72852,0.53075,0.03586,0.06936,0.01073,220.78661,0.0196,2.3682,4.49942,4.32835,0.10693,Inner_Ring
-2.55637,2.89913,0.00929,0.77182,0.5957,0.07786,0.19937,0.00929,311.99823,0.01496,2.89913,5.4555,4.66886,0.10753,Inner_Ring
-2.58308,2.58579,0.00985,0.68699,0.47196,0.02853,1.19604,0.00985,262.63703,0.01985,2.58579,5.16886,5.21386,0.11118,Inner_Ring
-2.60123,3.00969,0.00813,0.74595,0.55644,0.0838,0.25948,0.00813,370.00954,0.01406,3.00969,5.61092,5.20381,0.1051,Inner_Ring
-3.16928,2.92479,0.00906,0.77711,0.6039,0.01981,1.5332,0.00906,349.80321,0.01585,3.16928,6.09407,5.5455,0.10753,Inner_Ring
-1.84312,1.94638,0.01327,0.66077,0.43662,0.04393,-0.01593,0.01327,146.63032,0.02623,1.94638,3.7895,3.84586,0.10571,Inner_Ring
-2.3632,2.39157,0.00896,0.71825,0.51588,0.0521,0.62312,0.00896,266.95165,0.01627,2.39157,4.75476,4.34305,0.10632,Inner_Ring
-2.63732,2.47877,0.00612,0.82441,0.67965,0.02136,0.22815,0.00612,430.59082,0.00987,2.63732,5.11608,4.24875,0.10996,Inner_Ring
-2.07614,2.48503,0.0141,0.72633,0.52756,0.05208,-0.23911,0.0141,176.20922,0.02431,2.48503,4.56117,4.28362,0.10753,Inner_Ring
-3.09919,2.8257,0.00801,0.80043,0.64069,0.00894,0.92337,0.00801,386.79177,0.01331,3.09919,5.92489,5.14736,0.10693,Inner_Ring
-2.10472,2.53614,0.00988,0.72358,0.52356,0.05377,-0.0502,0.00988,256.70843,0.01763,2.53614,4.64086,4.52558,0.10693,Inner_Ring
-2.47314,2.44414,0.00835,0.74398,0.5535,0.02685,0.33886,0.00835,296.19505,0.01425,2.47314,4.91727,4.22212,0.10814,Inner_Ring
-2.54636,2.52341,0.00623,0.74038,0.54816,0.03064,0.47186,0.00623,408.59604,0.01122,2.54636,5.06977,4.58419,0.10693,Inner_Ring
-2.9081,3.23792,0.01344,0.85519,0.73134,0.0412,0.02249,0.01344,240.85799,0.01944,3.23792,6.14602,4.68337,0.10632,Inner_Ring
-2.55658,2.3924,0.00896,0.73207,0.53593,0.04096,0.39529,0.00896,285.22971,0.0161,2.55658,4.94898,4.59336,0.10814,Inner_Ring
-1.83728,1.81308,0.00775,0.71418,0.51006,0.00845,-0.36883,0.00775,236.96481,0.01386,1.83728,3.65035,3.28359,0.10571,Inner_Ring
-2.88765,2.69322,0.00991,0.79057,0.625,0.03482,0.67213,0.00991,291.31738,0.0166,2.88765,5.58088,4.83601,0.10571,Inner_Ring
-2.57786,2.44706,0.01112,0.6363,0.40488,0.0137,1.73244,0.01112,231.82227,0.02463,2.57786,5.02492,5.70968,0.11118,Inner_Ring
-1.9637,2.32898,0.01165,0.77776,0.60492,0.05423,-0.53778,0.01165,199.84279,0.01824,2.32898,4.29268,3.64533,0.10753,Inner_Ring
-2.89558,2.8113,0.00806,0.78781,0.62064,0.01999,0.81676,0.00806,359.32873,0.01368,2.89558,5.70688,4.91728,0.10936,Inner_Ring
-2.49733,2.97214,0.00379,0.73958,0.54698,0.07205,0.3335,0.00379,783.74927,0.00662,2.97214,5.46948,5.18754,0.10814,Inner_Ring
-2.95754,2.90038,0.01019,0.80977,0.65573,0.04059,1.49374,0.01019,290.27668,0.017,2.95754,5.85792,4.9349,0.10632,Inner_Ring
-2.24074,2.17356,0.00801,0.71865,0.51645,0.02739,0.20991,0.00801,279.79056,0.01478,2.24074,4.4143,4.13485,0.10632,Inner_Ring
-2.31,2.60415,0.00595,0.79873,0.63797,0.06925,-0.25865,0.00595,437.82267,0.00917,2.60415,4.91414,4.01414,0.10632,Inner_Ring
-2.94774,2.74705,0.00818,0.80531,0.64853,0.02137,0.74019,0.00818,360.37094,0.01342,2.94774,5.69478,4.83785,0.10814,Inner_Ring
-1.82872,2.18879,0.00745,0.6718,0.45131,0.04937,-0.16036,0.00745,293.6447,0.01423,2.18879,4.01752,4.1794,0.10693,Inner_Ring
-2.95462,2.69761,0.011,0.8272,0.68426,0.01393,0.58094,0.011,268.6894,0.01742,2.95462,5.65223,4.68134,0.1045,Inner_Ring
-2.54657,2.63794,0.009,0.74553,0.55581,0.03301,0.92681,0.009,293.14615,0.01668,2.63794,5.18451,4.88976,0.10571,Inner_Ring
-2.8113,3.08021,0.01022,0.87556,0.7666,0.03564,-0.18734,0.01022,301.30412,0.01426,3.08021,5.89151,4.29778,0.10693,Inner_Ring
-2.91895,2.76415,0.00575,0.76575,0.58637,0.02651,0.95669,0.00575,507.89115,0.0101,2.91895,5.6831,5.13103,0.10753,Inner_Ring
-1.83936,1.96516,0.01208,0.68155,0.46451,0.04201,-0.40931,0.01208,162.66255,0.02238,1.96516,3.80452,3.6412,0.10389,Inner_Ring
-2.93105,2.79086,0.0108,0.79502,0.63206,0.03413,1.02951,0.0108,271.26988,0.01819,2.93105,5.7219,4.93556,0.10571,Inner_Ring
-2.82257,2.72598,0.00726,0.85073,0.72374,0.02408,0.42457,0.00726,389.03625,0.01136,2.82257,5.54854,4.41846,0.10875,Inner_Ring
-2.13184,2.45478,0.00984,0.79078,0.62534,0.04544,-0.42593,0.00984,249.36247,0.01516,2.45478,4.58662,3.77929,0.10875,Inner_Ring
-3.05017,3.01846,0.0059,0.80041,0.64066,0.02817,1.24812,0.0059,516.82951,0.01006,3.05017,6.06862,5.19777,0.10875,Inner_Ring
-2.63502,3.26212,0.00987,0.74495,0.55495,0.0772,0.86991,0.00987,330.46378,0.01752,3.26212,5.89714,5.78946,0.10693,Inner_Ring
-2.89955,2.83467,0.00559,0.77112,0.59463,0.02951,1.38007,0.00559,518.33505,0.00996,2.89955,5.73421,5.16355,0.1051,Inner_Ring
-1.81349,2.11098,0.01016,0.65967,0.43517,0.03744,0.01356,0.01016,207.72067,0.02023,2.11098,3.92447,4.20298,0.10936,Inner_Ring
-2.43433,2.63711,0.00612,0.77748,0.60447,0.04985,-0.02066,0.00612,430.95806,0.00977,2.63711,5.07144,4.21012,0.10753,Inner_Ring
-3.25607,3.15823,0.01163,0.80108,0.64174,0.02026,1.73728,0.01163,280.08774,0.01983,3.25607,6.4143,5.55541,0.1045,Inner_Ring
-1.88609,2.14811,0.0134,0.69101,0.4775,0.03704,-0.35551,0.0134,160.29718,0.02415,2.14811,4.0342,3.8715,0.10693,Inner_Ring
-3.06957,2.9444,0.01046,0.79164,0.6267,0.01771,1.46509,0.01046,293.43855,0.01786,3.06957,6.01396,5.24198,0.10571,Inner_Ring
-1.86919,2.04485,0.01021,0.65595,0.43028,0.0663,0.01238,0.01021,200.30407,0.02042,2.04485,3.91404,4.08965,0.1051,Inner_Ring
-2.45394,2.7725,0.01139,0.76317,0.58243,0.05883,0.25972,0.01139,243.38385,0.01873,2.7725,5.22644,4.55909,0.10875,Inner_Ring
-2.68071,2.67299,0.01216,0.73799,0.54462,0.0167,0.90608,0.01216,220.38594,0.02203,2.68071,5.3537,4.8541,0.10753,Inner_Ring
-2.69218,3.11546,0.00973,0.78035,0.60894,0.08103,0.37247,0.00973,320.33262,0.01611,3.11546,5.80764,5.15896,0.10753,Inner_Ring
-3.21873,3.04537,0.01244,0.79876,0.63802,0.01522,1.9719,0.01244,258.63751,0.02198,3.21873,6.26409,5.68535,0.10571,Inner_Ring
-1.87733,2.0655,0.00845,0.65193,0.42502,0.0486,-0.03513,0.00845,244.32253,0.01708,2.0655,3.94283,4.1733,0.10267,Inner_Ring
-2.82549,2.67654,0.01126,0.79076,0.6253,0.03203,0.87404,0.01126,250.91644,0.0187,2.82549,5.50202,4.69254,0.10753,Inner_Ring
-2.11807,2.23385,0.00906,0.75994,0.57751,0.01134,-0.04441,0.00906,246.52243,0.01568,2.23385,4.35193,3.86629,0.10389,Inner_Ring
-2.12809,2.38114,0.00672,0.76511,0.58539,0.05939,-0.16946,0.00672,354.5269,0.01094,2.38114,4.50922,3.8798,0.10814,Inner_Ring
-2.69802,2.61937,0.00856,0.75576,0.57117,0.01571,1.03073,0.00856,315.04688,0.01538,2.69802,5.3174,4.84691,0.10571,Inner_Ring
-1.95786,2.10868,0.0105,0.68504,0.46929,0.05331,0.09302,0.0105,200.80342,0.02037,2.10868,4.06654,4.09081,0.10571,Inner_Ring
-3.00114,2.88286,0.01285,0.85454,0.73024,0.03211,0.63429,0.01285,233.49889,0.01939,3.00114,5.884,4.52798,0.10693,Inner_Ring
-1.94325,2.15228,0.00715,0.70432,0.49607,0.04678,-0.07704,0.00715,301.22361,0.01328,2.15228,4.09554,4.00139,0.1045,Inner_Ring
-3.17325,3.41775,0.01281,0.91589,0.83886,0.04928,0.10159,0.01281,266.8014,0.01738,3.41775,6.59099,4.63651,0.10693,Inner_Ring
-3.10399,2.84405,0.00682,0.78941,0.62316,0.03813,1.70557,0.00682,455.13537,0.01196,3.10399,5.94804,5.44133,0.10875,Inner_Ring
-2.38885,2.75393,0.01161,0.78711,0.61954,0.0431,0.07447,0.01161,237.16011,0.01916,2.75393,5.14279,4.54294,0.10753,Inner_Ring
-2.8209,2.67883,0.01227,0.8475,0.71826,0.01265,0.44596,0.01227,229.95601,0.01901,2.8209,5.49973,4.37059,0.10632,Inner_Ring
-2.49212,2.44539,0.00525,0.86988,0.75668,0.02187,0.07702,0.00525,474.75954,0.00801,2.49212,4.93751,3.80257,0.11118,Inner_Ring
-1.88922,2.15938,0.01351,0.76219,0.58093,0.04308,-0.52025,0.01351,159.78379,0.02161,2.15938,4.0486,3.45234,0.10632,Inner_Ring
-3.1914,3.02242,0.00979,0.7694,0.59198,0.01501,1.76654,0.00979,325.8263,0.01762,3.1914,6.21382,5.74224,0.10936,Inner_Ring
-1.98685,2.08282,0.01351,0.67699,0.45831,0.06187,0.15349,0.01351,154.21548,0.02631,2.08282,4.06967,4.05733,0.1051,Inner_Ring
-2.73161,2.64107,0.01329,0.79795,0.63673,0.03297,0.62385,0.01329,205.52633,0.02153,2.73161,5.37268,4.42434,0.10632,Inner_Ring
-2.70532,3.23458,0.01298,0.77545,0.60132,0.05485,0.78868,0.01298,249.25754,0.02263,3.23458,5.93991,5.64029,0.10632,Inner_Ring
-2.21737,2.528,0.01098,0.76353,0.58298,0.07644,-0.25647,0.01098,230.18774,0.01777,2.528,4.74537,4.09013,0.10996,Inner_Ring
-2.76979,2.54323,0.01464,0.78565,0.61724,0.01063,0.86178,0.01464,189.24111,0.02508,2.76979,5.31302,4.74584,0.10753,Inner_Ring
-1.89444,2.1744,0.01059,0.67585,0.45677,0.05605,-0.14303,0.01059,205.29944,0.02026,2.1744,4.06883,4.1587,0.10693,Inner_Ring
-3.33409,3.19682,0.0065,0.87194,0.76028,0.01997,1.24556,0.0065,512.99477,0.01002,3.33409,6.53091,5.14158,0.10571,Inner_Ring
-1.86586,1.76635,0.01296,0.65963,0.43511,0.02628,0.09135,0.01296,143.98013,0.02655,1.86586,3.6322,3.82211,0.10753,Inner_Ring
-2.34025,2.75435,0.00887,0.81331,0.66147,0.05623,-0.26102,0.00887,310.65882,0.01332,2.75435,5.0946,4.1375,0.10875,Inner_Ring
-2.77521,2.75456,0.01299,0.71212,0.50712,0.01375,1.37692,0.01299,213.59962,0.02459,2.77521,5.52977,5.2532,0.10753,Inner_Ring
-1.95723,2.33107,0.00831,0.70767,0.5008,0.07774,-0.16455,0.00831,280.63297,0.01502,2.33107,4.2883,4.21526,0.10632,Inner_Ring
-3.1647,2.94169,0.00974,0.84025,0.70602,0.03425,1.04821,0.00974,324.84025,0.01544,3.1647,6.10638,5.01692,0.10753,Inner_Ring
-2.3148,2.73349,0.01201,0.71926,0.51734,0.06337,0.2224,0.01201,227.69061,0.02208,2.73349,5.04828,5.02733,0.10389,Inner_Ring
-2.04255,2.38719,0.01018,0.75226,0.56589,0.05357,-0.23868,0.01018,234.46669,0.0168,2.38719,4.42974,3.93861,0.10814,Inner_Ring
-2.56889,2.50297,0.01069,0.74781,0.55922,0.02358,0.56376,0.01069,240.2091,0.01907,2.56889,5.07186,4.5806,0.10693,Inner_Ring
-1.83123,1.97475,0.0085,0.66926,0.4479,0.05382,-0.02726,0.0085,232.38976,0.0164,1.97475,3.80598,3.81034,0.10753,Inner_Ring
-3.18201,2.96588,0.01293,0.78737,0.61995,-0.00381,1.36539,0.01293,246.02577,0.02223,3.18201,6.1479,5.46872,0.10693,Inner_Ring
-2.16522,2.61479,0.01063,0.631,0.39816,0.05491,0.46864,0.01063,246.09011,0.02238,2.61479,4.78,5.50649,0.10753,Inner_Ring
-3.02847,2.82945,0.01133,0.83826,0.70267,0.02012,0.47676,0.01133,267.33849,0.01715,3.02847,5.85792,4.58501,0.10875,Inner_Ring
-2.48336,2.43746,0.00653,0.69807,0.48729,0.01696,0.75134,0.00653,380.38446,0.01248,2.48336,4.92082,4.74682,0.10875,Inner_Ring
-1.95306,2.07531,0.00896,0.72596,0.52702,0.03803,-0.1411,0.00896,231.70239,0.01585,2.07531,4.02836,3.67279,0.1051,Inner_Ring
-3.41795,3.31219,0.0161,0.89603,0.80286,0.02713,1.37842,0.0161,212.2517,0.02435,3.41795,6.73014,5.1689,0.10693,Inner_Ring
-3.02096,3.07541,0.00735,0.89795,0.80631,0.05103,0.84443,0.00735,418.57708,0.01103,3.07541,6.09637,4.61655,0.11057,Inner_Ring
-2.84989,2.74684,0.012,0.81938,0.67138,0.06246,0.55414,0.012,237.44964,0.01867,2.84989,5.59673,4.43215,0.10753,Inner_Ring
-2.44706,2.58141,0.00991,0.77381,0.59878,0.04045,0.54752,0.00991,260.52859,0.01709,2.58141,5.02847,4.45196,0.10996,Inner_Ring
-1.72108,2.12955,0.00937,0.61794,0.38185,0.10017,0.06486,0.00937,227.20026,0.01954,2.12955,3.85062,4.44034,0.10571,Inner_Ring
-3.04871,2.92917,0.01401,0.80501,0.64805,0.02132,1.06896,0.01401,217.68121,0.02345,3.04871,5.97787,5.1048,0.10207,Inner_Ring
-2.67049,3.26379,0.00791,0.73344,0.53794,0.10554,1.44954,0.00791,412.68702,0.01453,3.26379,5.93427,5.99525,0.1045,Inner_Ring
-3.20976,3.15885,0.01283,0.81961,0.67177,0.03503,1.62803,0.01283,250.23572,0.02108,3.20976,6.36861,5.27527,0.10753,Inner_Ring
-2.60352,2.44247,0.00978,0.75342,0.56764,0.0406,0.55581,0.00978,266.13049,0.01736,2.60352,5.04599,4.62115,0.10753,Inner_Ring
-2.08657,2.25743,0.01205,0.73591,0.54156,0.05273,-0.42488,0.01205,187.3717,0.02015,2.25743,4.344,3.77511,0.10753,Inner_Ring
-3.0606,2.84677,0.00904,0.81038,0.65672,0.01657,0.89114,0.00904,338.65017,0.01495,3.0606,5.90736,5.06276,0.1051,Inner_Ring
-2.54761,2.99989,0.0112,0.75308,0.56714,0.07258,0.41466,0.0112,267.79368,0.01954,2.99989,5.5475,5.23186,0.10571,Inner_Ring
-3.41795,3.41775,0.01258,0.9123,0.83229,0.02897,1.21414,0.01258,271.672,0.0181,3.41795,6.8357,4.91749,0.10875,Inner_Ring
-2.20882,2.15437,0.00899,0.66329,0.43996,0.05199,0.4197,0.00899,245.65641,0.01802,2.20882,4.36319,4.42592,0.10875,Inner_Ring
-1.64931,1.89381,0.0149,0.63576,0.40419,0.04205,-0.42783,0.0149,127.13464,0.02885,1.89381,3.54312,3.66839,0.10693,Inner_Ring
-3.41795,3.41316,0.00671,0.91223,0.83217,0.06062,1.291,0.00671,509.11958,0.00999,3.41795,6.83111,5.08415,0.10571,Inner_Ring
-3.11129,3.41775,0.01371,0.89108,0.79402,0.08308,1.05572,0.01371,249.30125,0.02071,3.41775,6.52904,5.16283,0.10571,Inner_Ring
-3.37477,3.25148,0.01023,0.9201,0.84658,0.03391,0.67762,0.01023,329.89335,0.01417,3.37477,6.62625,4.67486,0.10753,Inner_Ring
-2.40262,2.52049,0.00952,0.81602,0.6659,0.03797,0.20354,0.00952,264.77835,0.01548,2.52049,4.92311,4.09783,0.10753,Inner_Ring
-2.1358,2.44873,0.01455,0.70177,0.49249,0.07285,-0.39258,0.01455,168.24204,0.02538,2.44873,4.58453,4.26982,0.10875,Inner_Ring
-2.89829,2.96693,0.00815,0.80849,0.65366,0.04715,0.87814,0.00815,363.9523,0.01352,2.96693,5.86522,4.92147,0.10571,Inner_Ring
-2.61937,3.03076,0.0148,0.80259,0.64415,0.06278,0.26411,0.0148,204.80899,0.02381,3.03076,5.65014,4.87677,0.10571,Inner_Ring
-3.35224,3.34264,0.0131,0.84208,0.70909,0.02432,1.52466,0.0131,255.82828,0.02116,3.35224,6.69488,5.41211,0.10632,Inner_Ring
-2.08803,2.20444,0.01146,0.72713,0.52872,0.0658,0.23513,0.01146,192.43975,0.02091,2.20444,4.29247,4.02456,0.10814,Inner_Ring
-2.12516,2.33983,0.01302,0.69512,0.48319,0.04243,-0.08441,0.01302,179.70405,0.0232,2.33983,4.465,4.1688,0.10753,Inner_Ring
-2.84572,2.72598,0.01014,0.78626,0.61821,0.05363,0.69272,0.01014,280.52682,0.01724,2.84572,5.5717,4.83604,0.10632,Inner_Ring
-2.315,2.78043,0.0139,0.77163,0.59541,0.03841,0.10371,0.0139,200.09566,0.02283,2.78043,5.09543,4.56753,0.10753,Inner_Ring
-3.41795,3.41775,0.00776,0.91211,0.83195,0.05254,1.53287,0.00776,440.58265,0.01164,3.41795,6.8357,5.12693,0.1051,Inner_Ring
-2.36653,2.37404,0.01347,0.83536,0.69783,0.04517,0.01083,0.01347,176.2714,0.02116,2.37404,4.74058,3.73058,0.10632,Inner_Ring
-1.99436,2.23594,0.00844,0.68623,0.47091,0.06644,-0.10883,0.00844,264.8764,0.01538,2.23594,4.2303,4.0736,0.10814,Inner_Ring
-2.67236,2.73411,0.01193,0.71514,0.51143,0.05683,1.33004,0.01193,229.15557,0.02257,2.73411,5.40648,5.1727,0.10693,Inner_Ring
-2.55408,3.00239,0.00904,0.7646,0.58462,0.09554,0.4616,0.00904,331.96794,0.01538,3.00239,5.55647,5.10499,0.1051,Inner_Ring
-3.33889,3.28173,0.01,0.78595,0.61772,0.03019,1.99974,0.01,333.81353,0.01743,3.33889,6.62062,5.81857,0.1051,Inner_Ring
-2.48878,2.62981,0.00915,0.79064,0.62511,0.06615,0.52145,0.00915,287.39683,0.01534,2.62981,5.11859,4.408,0.10753,Inner_Ring
-2.76499,2.92708,0.01301,0.77411,0.59924,0.07612,0.40477,0.01301,225.0078,0.02108,2.92708,5.69207,4.7434,0.10753,Inner_Ring
-2.87201,2.85887,0.01087,0.82184,0.67542,0.02594,0.72575,0.01087,264.10818,0.01776,2.87201,5.73087,4.6893,0.10814,Inner_Ring
-2.03859,2.51423,0.00987,0.71037,0.50463,0.06898,-0.15628,0.00987,254.74942,0.01754,2.51423,4.55282,4.46815,0.10753,Inner_Ring
-3.41795,3.31073,0.01044,0.89052,0.79302,0.02446,1.37199,0.01044,327.27041,0.01598,3.41795,6.72868,5.23141,0.10632,Inner_Ring
-2.13935,2.14853,0.00888,0.75797,0.57451,0.06654,-0.08331,0.00888,241.85921,0.01514,2.14853,4.28788,3.66162,0.10753,Inner_Ring
-2.15708,2.38927,0.01356,0.69958,0.48941,0.03919,-0.05965,0.01356,176.17201,0.02398,2.38927,4.54636,4.22536,0.10693,Inner_Ring
-2.29873,2.29289,0.00606,0.68976,0.47576,0.0645,0.59094,0.00606,379.62354,0.01173,2.29873,4.59162,4.45167,0.10814,Inner_Ring
-2.59392,3.00928,0.01334,0.75261,0.56643,0.08943,0.54491,0.01334,225.59621,0.02252,3.00928,5.6032,5.07944,0.10753,Inner_Ring
-3.19807,3.08834,0.00658,0.82605,0.68236,0.05175,1.18446,0.00658,486.12287,0.01069,3.19807,6.28642,5.19893,0.10693,Inner_Ring
-2.70407,2.74809,0.01294,0.81646,0.6666,0.05306,0.54358,0.01294,212.293,0.02114,2.74809,5.45216,4.48718,0.10207,Inner_Ring
-2.32648,2.51173,0.01448,0.72889,0.53128,0.0524,0.50294,0.01448,173.47397,0.02594,2.51173,4.83821,4.49996,0.10632,Inner_Ring
-2.40534,2.34192,0.01007,0.74028,0.54802,0.03902,0.34223,0.01007,238.89304,0.018,2.40534,4.74725,4.30052,0.10632,Inner_Ring
-1.98518,2.24741,0.01416,0.68236,0.46561,0.06091,0.06171,0.01416,158.68592,0.02649,2.24741,4.2326,4.20436,0.10814,Inner_Ring
-3.04975,2.96296,0.01158,0.74079,0.54878,0.0486,1.7069,0.01158,263.4602,0.0213,3.04975,6.01271,5.6124,0.10632,Inner_Ring
-1.91947,2.07823,0.01571,0.6266,0.39263,0.09235,0.23159,0.01571,132.25245,0.03256,2.07823,3.9977,4.30665,0.10632,Inner_Ring
